customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_techsupport,CLV,CLV_quartile,Churn_encoded
8499-BRXTD,1,0,0,0,18,1,0,2,1,1,1,1,1,1,1,0,3,20.1,401.85,No,1,1,0.05001866368047779,0,482.40000000000003,Low,0
4060-LDNLU,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,2,96.2,639.7,No,3,3,0.1503829920275129,1,2308.8,High,0
1428-IEDPR,1,0,0,0,52,1,2,1,2,0,2,2,2,2,2,1,2,109.3,5731.4,No,2,6,0.01907038419932303,0,5683.599999999999,Premium,0
2796-NNUFI,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,No,2,1,0.02151871427030525,0,917.6999999999999,Low,0
2474-BRUCM,1,1,1,0,40,1,2,1,2,0,0,0,2,2,0,0,2,101.85,4086.3,Yes,2,4,0.024924748550033033,1,4074.0,Premium,1
1455-UGQVH,1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,1037.75,Yes,3,4,0.09491688749698868,1,2364.0,High,1
1552-AAGRX,0,0,0,0,30,1,2,1,2,0,0,2,2,2,0,0,0,106.4,3211.9,No,2,5,0.03312680967651546,0,3192.0,High,0
8292-TYSPY,1,0,0,0,19,1,0,0,0,0,2,2,0,0,0,1,1,55.0,1046.5,Yes,1,3,0.05255613951266125,0,1320.0,Medium,1
5175-WLYXL,1,0,0,0,22,1,2,1,0,2,0,0,0,0,0,1,3,78.85,1600.25,No,1,2,0.04927355100765505,1,1892.3999999999999,Medium,0
9498-FIMXL,0,0,0,0,8,1,0,2,1,1,1,1,1,1,1,1,3,19.2,161.95,No,3,1,0.11855510960172894,0,460.79999999999995,Low,0
3398-GCPMU,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,89.55,6448.85,No,2,7,0.013886196763764081,0,6447.599999999999,Premium,0
0654-PQKDW,0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45,No,2,5,0.01659454197891379,0,4386.5,Premium,0
3588-WSTTJ,0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,No,2,4,0.0278653012997243,1,3466.75,High,0
3677-TNKIO,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,1,71.0,914.0,Yes,1,1,0.07768052516411379,1,1704.0,Medium,1
0829-DDVLK,0,0,0,0,15,1,0,2,1,1,1,1,1,1,1,0,1,20.1,302.45,No,1,1,0.06645726566374609,0,482.40000000000003,Low,0
