Feature,Importance
PaymentMethod,0.04672640975051949
MonthlyCharges,0.046726409750519185
OnlineSecurity,0.0457379983397958
OnlineBackup,0.04573799833979494
PaperlessBilling,0.03139466323260727
Contract,0.03139466323260697
internet_no_techsupport,0.026766988111024695
TotalCharges,0.013307808638386952
tenure_bucket,0.013307808638386463
StreamingMovies,0.00901951189211168
StreamingTV,0.009019511892111677
services_count,0.006870703827002568
monthly_to_total_ratio,0.0068707038270023855
MultipleLines,0.005767189338560086
InternetService,0.005767189338560062
Partner,0.004231131383130524
Dependents,0.004231131383130446
gender,0.003135001704422023
SeniorCitizen,0.0031350017044220056
PhoneService,0.0018381990209094343
tenure,0.0018381990209094155
DeviceProtection,0.001627071412068995
TechSupport,0.0016270714120689906
