Feature,Importance
Contract,0.8897214
monthly_to_total_ratio,0.4065337
tenure,0.3430425
MonthlyCharges,0.31836888
OnlineSecurity,0.2949232
TotalCharges,0.21529986
TechSupport,0.18725945
PaymentMethod,0.17134784
PaperlessBilling,0.13419451
InternetService,0.12182103
MultipleLines,0.107672304
OnlineBackup,0.070100844
Dependents,0.067145996
StreamingMovies,0.066542394
StreamingTV,0.066207506
gender,0.050501715
SeniorCitizen,0.04681836
services_count,0.04624346
Partner,0.0261294
PhoneService,0.023884637
internet_no_techsupport,0.022655983
tenure_bucket,0.020630404
DeviceProtection,0.019031977
